,loc_id,latitude,longitude,0,1,2,3,4,5,6,7,8,9,10,11
0,0,3.0,33.0,3.0545505510100024,5.672875710201485,14.620821570732481,29.848768570428334,38.362299108566894,30.577732653110036,31.030166830428573,32.48730938132518,26.84008376590952,27.419089026479288,20.657439712382786,6.23338218373355
1,1,3.0,33.5,3.123920243492326,5.537239732984766,13.527054990232374,27.22574756810263,38.09046262603725,31.787007660496652,32.06707399655286,29.68265799856097,22.300560401932962,22.06738858556725,16.437554742926057,5.987460128395808
2,2,3.0,34.0,3.225648949252502,5.311019914054883,12.678134572406295,24.81498219681711,34.48855567092875,28.62384982268959,32.44485738698121,27.364711228350718,17.44015156884063,17.0350534013965,14.280857474432713,6.073985752545987
3,3,3.0,34.5,3.1610803416679594,4.721769535986718,11.572796620458814,22.802409519942632,29.040141359170462,22.55925890740119,29.802976975619536,22.59298235589669,12.501402261717667,13.543628021335964,14.139632894398217,6.115179092333477
4,4,3.0,35.0,2.824694195935917,3.8282640293560157,9.593153152591187,18.955224831835,21.764960855374966,15.576530312836507,21.759013951742965,14.153125693710143,6.775016086903481,8.8066073458775,11.8244239371713,5.408610297402224
5,5,3.0,35.5,1.7961227218057054,2.314322915648671,6.102041467785072,12.276017794814074,11.871394596401606,5.965603256210965,7.006693352106855,5.074639304562875,2.0888923823931456,4.133775642920393,7.7269293094800355,3.4800723703605745
6,6,3.0,36.0,3.1258190428330295,3.6477709725833978,9.133156947881151,17.21692994300389,15.898636461556928,5.173858702335463,5.442194837446856,4.04140094566622,2.0854159070717375,4.653256069655179,10.096257703981708,5.438636513617563
7,7,3.0,36.5,2.5004409402079237,2.8658733802955463,6.79124577477036,11.542488675638445,10.97843915442257,4.705999856669144,5.688240576935998,3.9736044888565076,2.0068621238976267,3.060099587184929,5.5625543862862825,4.101153623880538
8,8,3.0,37.0,1.6656887884140859,1.7592006422720308,4.329987695752806,7.153830186356,5.3445466956176775,1.8931884377218202,2.305740644055999,1.7294187354064006,0.7342114155413314,2.0082434962565356,3.8092527984866917,2.6645788940084243
9,9,3.0,37.5,2.5626165209282763,2.5604735532908975,7.325492069404892,12.733767410938814,6.512658223445822,1.1363557067897396,1.1120462883802853,0.924684628338991,0.40421204205151795,4.129497311120464,9.06397780777554,5.137108550099965
10,10,3.0,38.0,2.959367240513804,2.778228418531093,8.813343602912122,17.199954020087034,8.284909436847606,1.1308340734934204,0.8326205169285354,0.7462846235432721,0.48991509573274117,6.736553601045286,13.879939637285949,6.85217130451294
11,11,3.0,38.5,2.7637208156295787,2.444622039952811,9.061218553919893,20.952178010656926,10.8117067484395,1.5461970939153162,0.9147757399409644,0.8651614718978414,0.9641102471671857,9.999481997557215,17.504211195899924,7.309524926561543
12,12,3.0,39.0,2.673951178257924,2.330522310776444,9.937605112290612,25.88162094308089,14.330298551816643,2.2928066603779924,1.2981588035730003,1.280858566629641,1.7295353209655562,13.374083667282573,21.56679982230866,7.858403002924409
13,13,3.0,39.5,2.5072651256126424,2.1563454276501157,10.170840598205935,29.56063058903467,18.430279414781786,3.512841704252044,2.181795079227,2.1513817456717272,2.717701992044037,16.198644008561605,24.475560950439665,7.9371824722138005
14,14,3.0,40.0,1.886604056090988,1.5654199087766,8.388485407385108,26.22104268667074,16.70963851726707,3.5366991344991825,2.527110847411536,2.389792158379389,2.4722526883415927,14.480887507875215,22.692549025301453,6.832994510863156
15,15,3.0,40.5,1.5021207670998609,1.272989779159608,7.509035734060936,25.11978899034937,15.207465473670894,3.121857587031413,2.3672734177185717,2.176217970403454,1.9551843801604816,13.485176227505214,23.14178073749223,6.520511790804984
16,16,3.0,41.0,1.2630681864381705,1.0686215092110152,7.360594255325072,25.22696490588163,13.82422011837432,2.5879675857836806,2.063590002538179,1.82912923075723,1.6028373818627042,14.563235980473179,24.87447371634896,6.361314483460252
17,17,3.0,41.5,1.1985228713880296,0.9676334280883974,7.156130148769461,27.79702102675159,16.806722907499857,3.0299043839235686,2.367543301561357,1.9506707288542087,1.7077904032961853,16.33595478248168,27.35252129516074,6.691177929679106
18,18,3.0,42.0,0.7626899172331,0.6046913439602717,4.943837333581691,20.398766898081927,12.942975337677249,2.3594151159726398,1.8405747943812856,1.5173577286743527,1.4267872489651852,12.077383389792535,20.244322589088032,4.697911939486095
19,19,3.0,42.5,0.7390931682658808,0.5251830672422252,4.969866622252986,20.79488244364748,12.950595785698216,2.459309342002751,1.7420721299789288,1.4167833031185977,1.561565826466,13.583225482724787,23.032452856397583,5.161226100974339
20,20,3.0,43.0,0.9127351906782051,0.5739246562838266,5.757231135194928,25.919938172769594,18.15515221091607,3.996715267943197,2.8294622316660716,2.21359585333759,2.4094077447869258,19.497092955496857,30.703833454378586,6.486961170722368
21,21,3.0,43.5,0.8563910982591203,0.5117267587003899,5.162172213122122,26.328154351837185,22.468392863003036,5.445606821703941,3.9561457047612496,3.136405585809461,3.3491150726574443,22.03838299418175,30.43315452364219,6.089595576277994
22,22,3.0,44.0,0.6729420149405291,0.39678116882820197,3.8280579751815824,21.945743717681335,22.29089786087857,5.469612499469071,4.033756960436464,3.3950824078447845,3.704826665530963,19.890571098958322,24.09118665489985,4.850813353764375
23,23,3.0,44.5,0.7922505832183114,0.4716788334561313,3.8537099716520147,20.17383910100637,20.825089435940107,4.993949307507807,3.6813373235873215,3.2410158289782376,3.7004412325830742,18.45329920766725,21.59754890862985,5.378544013168281
24,24,3.0,45.0,0.8984144831159522,0.5123113898369909,3.3749687309139573,17.283158685491408,19.89690823211714,4.5345219572428626,3.1812652192426785,2.8657126383951077,3.6053795996485185,17.71837430017143,20.192912392163866,5.794596611124554
